"country","name","email","address","district","city","revenue"
"India","Wayne","wayne.truong@sakilacustomer.org","990 Etawah Loop","West Bengali","Yamuna Nagar","6034.78"
"China","Walter","walter.perryman@sakilacustomer.org","904 Clarksville Drive","Zhejiang","Zhoushan","5251.03"
"United States","Zachary","zachary.hite@sakilacustomer.org","98 Pyongyang Boulevard","Washington","Warren","3685.31"
"Japan","Tony","tony.carranza@sakilacustomer.org","958 Sagamihara Lane","Yamaguchi","Urawa","3122.51"
"Mexico","Willard","willard.lumpkin@sakilacustomer.org","966 Asuncin Way","Veracruz","Zapopan","2984.82"
"Brazil","Tina","tina.simmons@sakilacustomer.org","984 Effon-Alaiye Avenue","So Paulo","Vitria de Santo Anto","2919.19"
"Russian Federation","Warren","warren.sherrod@sakilacustomer.org","954 Lapu-Lapu Way","Volgograd","Zeleznogorsk","2765.62"
"Philippines","Viola","viola.hanson@sakilacustomer.org","953 Hodeida Street","Southern Tagalog","Tuguegarao","2219.70"
"Turkey","Vernon","vernon.chapa@sakilacustomer.org","984 Novoterkassk Loop","Usak","Usak","1498.49"
"Indonesia","Victoria","victoria.gibson@sakilacustomer.org","935 Aden Boulevard","West Java","Tegal","1352.69"
"Nigeria","Wallace","wallace.slone@sakilacustomer.org","955 Bamenda Way","Sokoto & Kebbi & Zam","Zaria","1314.92"
"Argentina","Willie","willie.markham@sakilacustomer.org","96 Tafuna Way","Tucumn","Vicente Lpez","1298.80"
"Taiwan","Tammy","tammy.sanders@sakilacustomer.org","608 Birgunj Parkway","Ynlin","Tsaotun","1155.10"
"South Africa","Ruth","ruth.martinez@sakilacustomer.org","999 Sanaa Loop","Western Cape","Springs","1069.46"
"Iran","Tommy","tommy.collazo@sakilacustomer.org","956 Nam Dinh Manor","Markazi","Tabriz","877.96"
"United Kingdom","Sandra","sandra.martin@sakilacustomer.org","869 Shikarpur Way","Scotland","York","850.96"
"Poland","Sidney","sidney.burleson@sakilacustomer.org","906 Goinia Way","Wielkopolskie","Wroclaw","786.16"
"Italy","Marc","marc.outlaw@sakilacustomer.org","379 Lublin Parkway","Toscana","Udine","753.26"
"Germany","Vickie","vickie.brewer@sakilacustomer.org","68 Molodetno Manor","Saarland","Witten","741.24"
"Vietnam","Patrick","patrick.newsom@sakilacustomer.org","68 Ponce Parkway","Nghe An","Vinh","676.45"
"Ukraine","Todd","todd.tan@sakilacustomer.org","927 Baha Blanca Parkway","Taka-Karpatia","Sumy","675.53"
"Colombia","Wanda","wanda.patterson@sakilacustomer.org","98 Stara Zagora Boulevard","Valle","Sogamoso","661.54"
"Egypt","Sherry","sherry.marshall@sakilacustomer.org","775 ostka Drive","Sawhaj","Shubra al-Khayma","659.48"
"Venezuela","Yvonne","yvonne.watkins@sakilacustomer.org","544 Tarsus Boulevard","Zulia","Valle de la Pascua","632.43"
"Canada","Troy","troy.quigley@sakilacustomer.org","983 Santa F Way","Qubec","Vancouver","559.70"
"Netherlands","Vivian","vivian.ruiz@sakilacustomer.org","992 Klerksdorp Loop","Utrecht","s-Hertogenbosch","557.73"
"South Korea","Tanya","tanya.gilbert@sakilacustomer.org","647 A Corua (La Corua) Street","Kyongsangbuk","Uijongbu","527.77"
"Spain","Wesley","wesley.bull@sakilacustomer.org","939 Probolinggo Loop","Galicia","Santiago de Compostela","513.80"
"Yemen","William","william.satterfield@sakilacustomer.org","751 Lima Loop","Taizz","Taizz","473.93"
"Pakistan","Sharon","sharon.robinson@sakilacustomer.org","966 Arecibo Loop","Sind","Shikarpur","473.84"
"Saudi Arabia","Travis","travis.estep@sakilacustomer.org","780 Kimberley Way","Tabuk","Tabuk","452.94"
"Peru","Thelma","thelma.murray@sakilacustomer.org","827 Yuncheng Drive","Piura","Sullana","407.01"
"Thailand","Shawn","shawn.heaton@sakilacustomer.org","870 Ashqelon Loop","Songkhla","Songkhla","401.08"
"Israel","Lewis","lewis.lyman@sakilacustomer.org","97 Shimoga Avenue","Tel Aviv","Tel Aviv-Jaffa","379.13"
"Ecuador","Tracy","tracy.herrmann@sakilacustomer.org","816 Cayenne Parkway","Manab","Robamba","369.18"
"Bangladesh","Stephen","stephen.qualls@sakilacustomer.org","262 A Corua (La Corua) Parkway","Dhaka","Tangail","353.19"
"Algeria","Mario","mario.cheatham@sakilacustomer.org","757 Rustenburg Avenue","Skikda","Skikda","349.18"
"France","Virginia","virginia.green@sakilacustomer.org","391 Callao Drive","Provence-Alpes-Cte","Toulouse","334.12"
"Malaysia","Jean","jean.bell@sakilacustomer.org","715 So Bernardo do Campo Lane","Sarawak","Sungai Petani","330.23"
"Tanzania","Yolanda","yolanda.weaver@sakilacustomer.org","64 Korla Street","Zanzibar West","Zanzibar","322.22"
"Mozambique","Marsha","marsha.douglas@sakilacustomer.org","771 Yaound Manor","Tete","Tete","315.25"
"United Arab Emirates","Tom","tom.milner@sakilacustomer.org","669 Firozabad Loop","Sharja","Sharja","305.25"
"Dominican Republic","Randall","randall.neumann@sakilacustomer.org","532 Toulon Street","Santiago","Santiago de los Caballeros","304.26"
"Chile","Jerome","jerome.kenyon@sakilacustomer.org","568 Dhule (Dhulia) Loop","OHiggins","Rancagua","303.34"
"Austria","Nora","nora.herrera@sakilacustomer.org","1587 Loja Manor","Steiermark","Salzburg","284.30"
"Morocco","Laura","laura.rodriguez@sakilacustomer.org","671 Graz Street","Tadla-Azilal","Sal","274.35"
"Paraguay","Maureen","maureen.little@sakilacustomer.org","201 Effon-Alaiye Way","Central","San Lorenzo","273.40"
"Belarus","Cory","cory.meehan@sakilacustomer.org","556 Asuncin Way","Mogiljov","Molodetno","271.36"
"Latvia","Sarah","sarah.lewis@sakilacustomer.org","1780 Hino Boulevard","Liepaja","Liepaja","249.43"
"Switzerland","Wade","wade.delvalle@sakilacustomer.org","915 Ponce Place","Vaud","Lausanne","248.41"
"Kenya","Roy","roy.whiting@sakilacustomer.org","447 Surakarta Loop","Nyanza","Nyeri","245.49"
"Yugoslavia","Max","max.pitt@sakilacustomer.org","900 Santiago de Compostela Parkway","Vojvodina","Novi Sad","233.49"
"Puerto Rico","Ralph","ralph.madrigal@sakilacustomer.org","1405 Chisinau Place","Ponce","Ponce","224.48"
"Romania","Ken","ken.prewitt@sakilacustomer.org","1342 Abha Boulevard","Bukarest","Bucuresti","218.42"
"Runion","Eleanor","eleanor.hunt@sakilacustomer.org","1952 Pune Lane","Saint-Denis","Saint-Denis","211.55"
"French Polynesia","Gloria","gloria.cook@sakilacustomer.org","1668 Saint Louis Place","Tahiti","Papeete","205.52"
